,Male,Female,unmarried,Married_x,Independent,1Dependent,2Dependents,3+Dependents,Graduate,Ungraduate,Not_Self_Employed,Self_Employed_x,Rural,Semiurban,Urban,Unnamed: 0,Gender,Married_y,Dependents,Education,Self_Employed_y,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,5849,0.0,146.41216216216216,360.0,1.0,2,1
1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0
2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,2,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1
3,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,3,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1
4,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,4,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1
5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,5,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1
6,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,6,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1
7,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,7,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0
8,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,8,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1
9,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,9,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0
10,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,10,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1
11,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,12,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1
12,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,13,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0
13,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,14,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1
14,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,15,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1
15,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,16,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1
16,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,17,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0
17,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,18,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0
18,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,20,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0
19,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,21,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1
20,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,22,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0
21,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,25,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1
22,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,26,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1
23,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,27,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1
24,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,28,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0
25,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,31,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0
26,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,32,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0
27,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,33,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1
28,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,34,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0
29,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,35,1,1,0,0,0,2275,2067.0,146.41216216216216,360.0,1.0,2,1
30,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,36,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0
31,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,37,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1
32,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,38,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1
33,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,39,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1
34,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,40,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0
35,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,41,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1
36,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,42,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,1
37,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,43,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1
38,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,44,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1
39,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,45,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1
40,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,46,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1
41,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,47,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1
42,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,48,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0
43,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,49,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1
44,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,50,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1
45,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,51,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1
46,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,52,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0
47,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,53,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0
48,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,54,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0
49,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,55,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1
50,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,56,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1
51,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,57,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0
52,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,58,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1
53,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,59,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1
54,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,60,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1
55,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,61,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1
56,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,62,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0
57,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,63,1,1,1,0,0,4945,0.0,146.41216216216216,360.0,0.0,0,0
58,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,64,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0
59,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,65,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0
60,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,66,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0
61,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,67,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1
62,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,68,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1
63,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,69,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0
64,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,70,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1
65,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,71,1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,1
66,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,72,1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,1
67,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,73,1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,0
68,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,74,1,1,3,0,1,5266,1774.0,187.0,360.0,1.0,1,1
69,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,75,1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,0
70,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,76,1,0,0,0,0,3750,4750.0,176.0,360.0,1.0,2,0
71,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,77,1,1,1,0,1,1000,3022.0,110.0,360.0,1.0,2,0
72,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,78,1,1,3,0,0,3167,4000.0,180.0,300.0,0.0,1,0
73,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,79,1,1,3,1,1,3333,2166.0,130.0,360.0,1.0,1,1
74,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,80,0,0,0,0,0,3846,0.0,111.0,360.0,1.0,1,1
75,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,81,1,1,1,0,1,2395,0.0,146.41216216216216,360.0,1.0,1,1
76,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,82,0,1,2,0,0,1378,1881.0,167.0,360.0,1.0,2,0
77,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,83,1,1,0,0,0,6000,2250.0,265.0,360.0,1.0,1,0
78,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,84,1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,1
79,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,85,1,0,0,0,0,2366,2531.0,136.0,360.0,1.0,1,1
80,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,86,1,1,2,1,0,3333,2000.0,99.0,360.0,1.0,1,1
81,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,87,1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,1
82,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,88,1,0,0,0,0,8566,0.0,210.0,360.0,1.0,2,1
83,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,89,1,1,0,0,0,5695,4167.0,175.0,360.0,1.0,1,1
